City,Location,Coordinates,2,3
"DAYTON, OH","Dayton, OH, USA","(39.7589478, -84.1916069)",,
"SANDY HOOK, CT","Sandy Hook, Newtown, CT, USA","(41.4218208, -73.2833176)",,
"MANSON, NC","Manson, Nutbush, NC, USA","(36.421453, -78.2838779)",,
"TOCCOA, GA","Toccoa, GA, USA","(34.5773206, -83.3323851)",,
"LAWRENCE STATION, NB","Lawrence Station, NB E5A 3C5, Canada","(45.425221, -67.1778719)",,
"TALLADEGA, AL","Talladega, AL 35160, USA","(33.4359416, -86.1058048)",,
"ARDMORE, OK","Ardmore, OK 73401, USA","(34.1742611, -97.14362539999999)",,
"DE SOTO, KS","De Soto, KS, USA","(38.9791709, -94.96857829999999)",,
"PHOENIX, AZ","Phoenix, AZ, USA","(33.4483771, -112.0740373)",,
"ROANOKE, TX","Roanoke, TX, USA","(33.0040126, -97.2258483)",,
"COUNCIL BLUFFS, IA","Council Bluffs, IA, USA","(41.2619444, -95.8608333)",,
"LEWISVILLE, TX","Lewisville, TX, USA","(33.046233, -96.994174)",,
"HAMBURG, PA","Hamburg, PA 19526, USA","(40.5556484, -75.98187720000001)",,
"WEST CARROLTON, OH","West Carrollton, OH, USA","(39.6722812, -84.2521632)",,
"WINDSOR, QC","Windsor, QC, Canada","(45.5699075, -72.0067825)",,
"CARSON, CA","Carson, CA, USA","(33.8316745, -118.281693)",,
"LOS ANGELES, CA","Los Angeles, CA, USA","(34.0522342, -118.2436849)",,
"WAYCROSS, GA","Waycross, GA, USA","(31.2135511, -82.3540178)",,
"LEMONT, IL","Lemont, IL, USA","(41.673642, -88.0017261)",,
"VANCOUVER, BC","Vancouver, BC, Canada","(49.2827291, -123.1207375)",,
"GRANTS PASS, OR","Grants Pass, OR, USA","(42.4390069, -123.3283925)",,
"ROANOKE, VA","Roanoke, VA, USA","(37.2709704, -79.9414266)",,
"SOUTH HAVEN, MI","South Haven, MI 49090, USA","(42.4030865, -86.2736407)",,
"DARTMOUTH, NS","Dartmouth, NS, Canada","(44.7000282, -63.5579269)",,
"LINDON, UT","Lindon, UT, USA","(40.3432857, -111.7207608)",,
"PITTSBURG, TX","Pittsburg, TX 75686, USA","(32.9954021, -94.96576879999999)",,
"BELOIT, WI","Beloit, WI 53511, USA","(42.5083482, -89.03177649999999)",,
"WSHNGTN CT HS, OH","130 N Fayette St, Washington Ct Hs, OH 43160, USA","(39.537274, -83.4393219)",,
"EDWARDSVILLE, IL","Edwardsville, IL, USA","(38.8114364, -89.95315699999999)",,
"CERRITOS, CA","Cerritos, CA, USA","(33.8583483, -118.0647871)",,
"OAK CREEK, WI","Oak Creek, WI 53154, USA","(42.8858503, -87.8631362)",,
"MONTEREY, TN","Monterey, TN 38574, USA","(36.1475642, -85.2683021)",,
"BRONX, NY","The Bronx, NY, USA","(40.8447819, -73.8648268)",,
"OLMSTED FALLS, OH","Olmsted Falls, OH 44138, USA","(41.375049, -81.9081937)",,
"KITCHENER, ON","Kitchener, ON, Canada","(43.4516395, -80.4925337)",,
"NORTH SALT LAKE, UT","North Salt Lake, UT, USA","(40.8485564, -111.9068824)",,
"MOUNT GILEAD, NC","Mt Gilead, NC 27306, USA","(35.2148671, -80.0022784)",,
"SACRAMENTO, CA","Sacramento, CA, USA","(38.5815719, -121.4943996)",,
"BROOKSHIRE, TX","Brookshire, TX 77423, USA","(29.7860643, -95.95106609999999)",,
"BURLINGTON, ON","Burlington, ON, Canada","(43.3255196, -79.7990319)",,
"WATSONVILLE, CA","Watsonville, CA, USA","(36.910231, -121.7568946)",,
"FLINT, MI","Flint, MI, USA","(43.0125274, -83.6874562)",,
"LANGDON, ND","Langdon, ND 58249, USA","(48.7600007, -98.3681728)",,
"RED LION, PA","Red Lion, PA, USA","(39.9009334, -76.6058001)",,
"WEST POINT, GA","West Point, GA, USA","(32.8779056, -85.18327459999999)",,
"MOORHEAD, MN","Moorhead, MN, USA","(46.8737648, -96.76780389999999)",,
"GRIMES, IA","Grimes, IA, USA","(41.6883646, -93.7925199)",,
"GARY, IN","Gary, IN, USA","(41.6020403, -87.3371523)",,
"FULLERTON, CA","Fullerton, CA, USA","(33.8703645, -117.9242123)",,
"WATERTOWN, SD","Watertown, SD 57201, USA","(44.8994088, -97.1150732)",,
"DETROIT LAKES, MN","Detroit Lakes, MN 56501, USA","(46.8171808, -95.8453253)",,
"ONTARIO, CA","Ontario, CA, USA","(34.0633443, -117.6508876)",,
"GRAND RAPIDS, MN","Grand Rapids, MN 55744, USA","(47.2371658, -93.53021419999999)",,
"MORTON, IL","Morton, IL, USA","(40.6128161, -89.45926089999999)",,
"CHANDLER, AZ","Chandler, AZ, USA","(33.3061605, -111.8412502)",,
"WATERLOO, IA","Waterloo, IA, USA","(42.492786, -92.34257749999999)",,
"FRANKSTON, TX","Frankston, TX 75763, USA","(32.0526614, -95.50634559999999)",,
"GUADALUPE, NL","Guadalupe, Nuevo Leon, Mexico","(25.6748291, -100.2155063)",,
"VICKSBURG, MI","Vicksburg, MI 49097, USA","(42.1200456, -85.532775)",,
"LEWISBURG, OH","Lewisburg, OH 45338, USA","(39.8461629, -84.5396736)",,
"NEW CARLISLE, IN","New Carlisle, IN 46552, USA","(41.7003231, -86.509462)",,
"OWINGS MILLS, MD","Owings Mills, MD, USA","(39.4195499, -76.7802528)",,
"SODUS, NY","Sodus, NY, USA","(43.2236974, -77.03341790000002)",,
"MADISON, SD","Madison, SD 57042, USA","(44.0060847, -97.1139496)",,
"CHINO, CA","Chino, CA, USA","(34.0122346, -117.688944)",,
"ABERDEEN, SD","Aberdeen, SD 57401, USA","(45.4646985, -98.4864829)",,
"SAN JUAN DEL RIO, QA","San Juan del Río, Qro., Mexico","(20.3951106, -99.9856344)",,
"ARDEN HILLS, MN","Arden Hills, MN, USA","(45.0502435, -93.1566112)",,
"BELLMAWR, NJ","Bellmawr, NJ, USA","(39.8676134, -75.0946182)",,
"MITCHELL, SD","Mitchell, SD 57301, USA","(43.7094283, -98.0297992)",,
"LONGVIEW, WA","Longview, WA, USA","(46.1381676, -122.9381672)",,
"WAYNESBORO, TN","Waynesboro, TN 38485, USA","(35.3195217, -87.7622468)",,
"LIVINGSTON, TN","Livingston, TN 38570, USA","(36.3833961, -85.3230221)",,
"LEBANON, OR","Lebanon, OR 97355, USA","(44.53651190000001, -122.9070339)",,
"ALBANY, OR","Albany, OR, USA","(44.6365107, -123.1059282)",,
"WOODINVILLE, WA","Woodinville, WA, USA","(47.7542651, -122.1634581)",,
"RED DEER, AB","Red Deer, AB, Canada","(52.268975, -113.8115599)",,
"CLACKAMAS, OR","Clackamas, OR, USA","(45.4076205, -122.5703692)",,
"ROCKY VIEW COUNTY, AB","Rocky View No. 44, AB, Canada","(51.2702591, -114.1671706)",,
"VICTORIA, BC","Victoria, BC, Canada","(48.4284207, -123.3656444)",,
"SAANICHTON, BC","Saanichton, BC V8M, Canada","(48.5962689, -123.4169023)",,
"KELOWNA, BC","Kelowna, BC, Canada","(49.8879519, -119.4960106)",,
"BEND, OR","Bend, OR, USA","(44.0581728, -121.3153096)",,
"NEWCASTLE, WY","Newcastle, WY 82701, USA","(43.8547003, -104.2049408)",,
"PRINEVILLE, OR","Prineville, OR 97754, USA","(44.2998485, -120.8344664)",,
"KENNEWICK, WA","Kennewick, WA, USA","(46.2086683, -119.119948)",,
"MISSION, BC","Mission, BC, Canada","(49.1329272, -122.3261603)",,
"PUYALLUP, WA","Puyallup, WA, USA","(47.1853785, -122.2928974)",,
"SAN LORENZO, CA","San Lorenzo, CA, USA","(37.6793968, -122.1267054)",,
"AVONDALE, GA","Avondale Estates, GA, USA","(33.7714939, -84.26714439999999)",,
"PENSACOLA, FL","Pensacola, FL, USA","(30.42130899999999, -87.2169149)",,
"OLYMPIA, WA","Olympia, WA, USA","(47.0378741, -122.9006951)",,
"WELLSBURG, WV","Wellsburg, WV 26070, USA","(40.2720146, -80.6095187)",,
"LAKEWOOD, WA","Lakewood, WA, USA","(47.1717649, -122.518458)",,
"CHENANGO BRIDGE, NY","Chenango Bridge, NY 13901, USA","(42.16674260000001, -75.8624167)",,
"PITTSBURGH, PA","Pittsburgh, PA, USA","(40.44062479999999, -79.9958864)",,
"GOODYEAR, AZ","Goodyear, AZ, USA","(33.4353394, -112.3576567)",,
"MILWAUKIE, OR","Milwaukie, OR, USA","(45.4465305, -122.6322812)",,
"COEUR D'ALENE, ID","Coeur d'Alene, ID, USA","(47.6734632, -116.7812225)",,
"NEW WESTMINSTER, BC","New Westminster, BC, Canada","(49.2057179, -122.910956)",,
"VERNON, BC","Vernon, BC, Canada","(50.2670137, -119.2720107)",,
"LETHBRIDGE, AB","Lethbridge, AB, Canada","(49.6955856, -112.8451364)",,
"LANGLEY, BC","Langley City, BC, Canada","(49.1041779, -122.6603519)",,
"ABBOTSFORD, BC","Abbotsford, BC, Canada","(49.0504377, -122.3044697)",,
"WHITE CITY, OR","White City, OR, USA","(42.431618, -122.8354426)",,
"SASKATOON, SK","Saskatoon, SK, Canada","(52.1332144, -106.6700458)",,
"LE MARS, IA","Le Mars, IA 51031, USA","(42.79415669999999, -96.1655778)",,
"RENO, NV","Reno, NV, USA","(39.5296329, -119.8138027)",,
"ALHAMBRA, CA","Alhambra, CA, USA","(34.095287, -118.1270146)",,
"PINE BLUFF, AR","Pine Bluff, AR, USA","(34.2284312, -92.00319549999999)",,
"FORDYCE, AR","Fordyce, AR 71742, USA","(33.8137161, -92.4129303)",,
"DELTA, BC","Delta, BC, Canada","(49.09521549999999, -123.0264758)",,
"TLACOTE, QUE","Tlacote el Bajo, Qro., Mexico","(20.6626237, -100.5054541)",,
"HAILEY, ID","Hailey, ID 83333, USA","(43.51962880000001, -114.3153245)",,
"PENTICTON, BC","Penticton, BC, Canada","(49.4991381, -119.5937077)",,
"THOMPSON, MT","Thompson Falls, MT 59873, USA","(47.5955023, -115.3373865)",,
"RETAIL ROUTE, -","2700 US-22, Union, NJ 07083, USA","(40.6856973, -74.30982589999999)",,
"BUENA PARK, CA","Buena Park, CA, USA","(33.8674044, -117.9981387)",,
"SIBLEY, IA","Sibley, IA 51249, USA","(43.3999861, -95.7516395)",,
"PICO RIVERA, CA","Pico Rivera, CA, USA","(33.9830688, -118.096735)",,
"PARLIER, CA","Parlier, CA 93648, USA","(36.6116174, -119.5270734)",,
"ROUTE TRUCKS, OR","1125 NC-66, Kernersville, NC 27284, USA","(36.103601, -80.060762)",,
"ASTORIA, OR","Astoria, OR 97103, USA","(46.1878841, -123.8312534)",,
"CENTRALIA, WA","Centralia, WA, USA","(46.7162136, -122.9542972)",,
"BALZAC, AB","Balzac, AB T0M 0E0, Canada","(51.212985, -114.007862)",,
"OKOTOKS, AB","Okotoks, AB, Canada","(50.7254764, -113.974928)",,
"HELENA, MT","Helena, MT, USA","(46.5891452, -112.0391057)",,
"BILLINGS, MT","Billings, MT, USA","(45.7832856, -108.5006904)",,
"CRANBROOK, BC","Cranbrook, BC V1C, Canada","(49.5129678, -115.7694002)",,
"LINCOLN, CA","Lincoln, CA, USA","(38.891565, -121.2930079)",,
"FEURA BUSH, NY","Feura Bush, NY, USA","(42.5778842, -73.8789212)",,
"SPRINGDALE, AR","Springdale, AR, USA","(36.18674420000001, -94.1288141)",,
"EDSON, AB","Edson, AB, Canada","(53.5850776, -116.433688)",,
"-, MT","20011 Chase Rd, Cherryvale, KS 67335, USA","(37.2880607, -95.48266819999999)",,
"BOUCHERVILLE, QC","Boucherville, QC, Canada","(45.5913698, -73.4364097)",,
"FAIRBURN, GA","Fairburn, GA, USA","(33.5670562, -84.5810418)",,
"APODACA, NL","Ciudad Apodaca, Nuevo Leon, Mexico","(25.776468, -100.1858743)",,
"NEWPORT, WA","Newport, WA 99156, USA","(48.1796277, -117.0432583)",,
"OTHELLO, WA","Othello, WA 99344, USA","(46.8259742, -119.1752913)",,
"MADRAS, OR","Madras, OR 97741, USA","(44.6334544, -121.1294872)",,
"CAMROSE, AB","Camrose, AB, Canada","(53.0179364, -112.8259861)",,
"SURPRISE, AZ","Surprise, AZ, USA","(33.6292337, -112.3679279)",,
"MERIDIAN, ID","Meridian, ID, USA","(43.6121087, -116.3915131)",,
"LONG BEACH, WA","Long Beach, WA 98631, USA","(46.3523219, -124.0543234)",,
"OKANOGAN, WA","Okanogan, WA 98840, USA","(48.361262, -119.5833869)",,
"NANAIMO, BC","Nanaimo, BC, Canada","(49.1658836, -123.9400648)",,
"LAGRANDE, OR","La Grande, OR 97850, USA","(45.3245771, -118.0877188)",,
"FORT ST JOHN, BC","Fort St John, BC, Canada","(56.252423, -120.846409)",,
"RICHMOND, QC","Richmond, QC, Canada","(45.665822, -72.147921)",,
"WINTER HAVEN, FL","Winter Haven, FL, USA","(28.0222435, -81.7328567)",,
"COLVILLE, WA","Colville, WA 99114, USA","(48.5449971, -117.9009545)",,
"MISSOULA, MT","Missoula, MT, USA","(46.8721284, -113.9940314)",,
"FERNLEY, NV","Fernley, NV, USA","(39.6079683, -119.2518349)",,
"LOUISA, IA","Louisa County, IA, USA","(41.19330009999999, -91.28910359999999)",,
"PORTLAND, -","Portland, OR, USA","(45.5051064, -122.6750261)",,
"BURNABY, BC","Burnaby, BC, Canada","(49.2488091, -122.9805104)",,
"CALWA, CA","Calwa, CA 93725, USA","(36.7105053, -119.7584755)",,
"CORTLAND, NY","Cortland, NY 13045, USA","(42.6011813, -76.1804843)",,
"PLEASANT VIEW, TN","Pleasant View, TN, USA","(36.3942164, -87.03666849999999)",,
"RIDGEFIELD, WA","Ridgefield, WA 98642, USA","(45.81432239999999, -122.6881558)",,
"ENTERPRISE, OR","Enterprise, OR 97828, USA","(45.4262617, -117.2787816)",,
"ERIN, ON","Erin, ON, Canada","(43.7758018, -80.0687097)",,
"CANNON BEACH, OR","Cannon Beach, OR, USA","(45.8917738, -123.9615274)",,
"WESTFIELD, MA","Westfield, MA 01085, USA","(42.1250929, -72.749538)",,
"ROOPVILLE, GA","Roopville, GA 30170, USA","(33.4565021, -85.1307779)",,
"GREAT FALLS, MT","Great Falls, MT, USA","(47.5052849, -111.3007715)",,
"SANTA CLARA, CA","Santa Clara, CA, USA","(37.3541079, -121.9552356)",,
"KAPOLEI, HI","Kapolei, HI, USA","(21.3353909, -158.0568965)",,
"MONTICELLO, AR","Monticello, AR 71655, USA","(33.6289974, -91.7909639)",,
"GOSHEN, CA","Goshen, CA 93291, USA","(36.3489815, -119.4186155)",,
"EOLA, IL","Eola, IL 60502, USA","(41.7775291, -88.24284759999999)",,
"FAIRVIEW, -","Fairview, TX 75069, USA","(33.1578952, -96.6316593)",,
"ONEIDA, NY","Oneida, NY, USA","(43.0925684, -75.65129309999999)",,
"BELGRADE, MT","Belgrade, MT 59714, USA","(45.7762463, -111.1770945)",,
"MCMINNVILLE, OR","McMinnville, OR 97128, USA","(45.21011619999999, -123.1987163)",,
"WALLULA, WA","Wallula, WA, USA","(46.0854121, -118.9052776)",,
"SAN LUIS POTOSI, SLP","San Luis Potosí, San Luis Potosi, Mexico","(22.1564699, -100.9855409)",,
"WHITBY, ON","Whitby, ON, Canada","(43.8975446, -78.94293290000002)",,
"ALTON, IL","Alton, IL, USA","(38.8906038, -90.1842764)",,
"RANCHO CORDOVA, CA","Rancho Cordova, CA, USA","(38.5890723, -121.302728)",,
"LA PALMA, CA","La Palma, CA, USA","(33.8463218, -118.0461393)",,
"BATAVIA, IL","Batavia, IL, USA","(41.8500284, -88.3125738)",,
"SAN NICOLAS DE LOS GARZA, NL","San Nicolás de los Garza, Nuevo Leon, Mexico","(25.7493469, -100.2868973)",,
"MORGAN HILL, CA","Morgan Hill, CA, USA","(37.1305012, -121.6543901)",,
"RANCHO CUCAMONGA, CA","Rancho Cucamonga, CA, USA","(34.10639889999999, -117.5931084)",,
"OSHAWA, ON","Oshawa, ON, Canada","(43.8970929, -78.86579119999999)",,
"CARROLTON, TX","Carrollton, TX, USA","(32.9756415, -96.8899636)",,
"MINOT, ND","Minot, ND, USA","(48.2329668, -101.2922906)",,
"COMMERCE, CA","Commerce, CA, USA","(34.0005691, -118.1597929)",,
"BOZEMAN, MT","Bozeman, MT, USA","(45.6769979, -111.0429339)",,
"KALISPELL, MT","Kalispell, MT 59901, USA","(48.1919889, -114.316813)",,
"ROCKFORD, IL","Rockford, IL, USA","(42.2711311, -89.0939952)",,
"FLORENCE, OR","Florence, OR 97439, USA","(43.9826214, -124.099841)",,
"PORT WENTWORTH, GA","Port Wentworth, GA, USA","(32.149092, -81.163168)",,
"BATAVIA, OH","Batavia, OH 45103, USA","(39.0770072, -84.1768795)",,
"WEST VALLEY CITY, UT","West Valley City, UT, USA","(40.6916132, -112.0010501)",,
"GLENDALE, CA","Glendale, CA, USA","(34.1425078, -118.255075)",,
"MERCED, CA","Merced, CA, USA","(37.3021632, -120.4829677)",,
"NORTH RICHLAND HILLS, TX","North Richland Hills, TX, USA","(32.8342952, -97.2289029)",,
"LANCASTER, TX","Lancaster, TX, USA","(32.5920798, -96.7561082)",,
"TRENTON, IL","Trenton, IL 62293, USA","(38.605604, -89.6820368)",,
"PARIS, TX","Paris, TX, USA","(33.6609389, -95.55551299999999)",,
"BRANDENBURG, KY","Brandenburg, KY 40108, USA","(37.9989592, -86.1694143)",,
"FORT LAUDERDALE, FL","Fort Lauderdale, FL, USA","(26.1224386, -80.13731740000001)",,
"O''FALLON, MO","O'Fallon, MO, USA","(38.8106075, -90.69984769999999)",,
"TIFFIN, OH","Tiffin, OH 44883, USA","(41.1144992, -83.1779746)",,
"SANTA TERESA, NM","Santa Teresa, NM 88008, USA","(31.8559384, -106.6391577)",,
"HARTFORD, WI","Hartford, WI, USA","(43.3177794, -88.3789862)",,
"PEACHTREE CITY, GA","Peachtree City, GA, USA","(33.3968557, -84.59634319999999)",,
"SOUTHBOROUGH, MA","Southborough, MA, USA","(42.3056501, -71.5245087)",,
"MOUNT PLEASANT, WI","Mt Pleasant, WI, USA","(42.7369942, -87.8844309)",,
"COLOMA, MI","Coloma, MI 49038, USA","(42.1861494, -86.30835599999999)",,
"AUBURN, IN","Auburn, IN 46706, USA","(41.3669942, -85.0588575)",,
"SAINT-LAURENT, QC","Saint-Laurent, Montreal, QC, Canada","(45.4985638, -73.74975669999999)",,
"SAINT MARYS, ON","St. Marys, ON, Canada","(43.2595868, -81.140653)",,
"HAMMOND, LA","Hammond, LA, USA","(30.5043583, -90.46119949999999)",,
"GARDEN CITY, KS","Garden City, KS 67846, USA","(37.9716898, -100.8726618)",,
"DEER PARK, NY","Deer Park, NY, USA","(40.7617653, -73.3292857)",,
"DAYTONA BEACH, FL","Daytona Beach, FL, USA","(29.2108147, -81.0228331)",,
"CREEDMOOR, TX","Creedmoor, TX, USA","(30.0899368, -97.7338917)",,
"SIDNEY, OH","Sidney, OH 45365, USA","(40.2842164, -84.1554987)",,
"DUNCAN, SC","Duncan, SC, USA","(34.9378962, -82.1451096)",,
"TUNKHANNOCK, PA","Tunkhannock, PA 18657, USA","(41.5386878, -75.94658799999999)",,
"LAKE CITY, MI","Lake City, MI 49651, USA","(44.3352872, -85.2150455)",,
"CANDLER, NC","Candler, NC 28715, USA","(35.5360973, -82.69273629999999)",,
"LEXINGTON, NC","Lexington, NC, USA","(35.8240265, -80.2533838)",,
"BUNNELL, FL","Bunnell, FL, USA","(29.4660863, -81.25784159999999)",,
"YORKTOWN, IN","Yorktown, IN, USA","(40.1736547, -85.4941396)",,
"SUWANEE, GA","Suwanee, GA 30024, USA","(34.0514898, -84.0712997)",,
"MEDLEY, FL","Medley, FL, USA","(25.8406526, -80.3264404)",,
"WINDER, GA","Winder, GA 30680, USA","(33.9926097, -83.7201709)",,
"COLUMBIA, MD","Columbia, MD, USA","(39.2037144, -76.86104619999999)",,
"WILLIAMSPORT, MD","Williamsport, MD 21795, USA","(39.6006523, -77.82055079999999)",,
"LONDON, ON","London, ON, Canada","(42.9849233, -81.2452768)",,
"GARFIELD, NJ","Garfield, NJ 07026, USA","(40.8814882, -74.113198)",,
"WAYNE, NJ","Wayne, NJ 07470, USA","(40.92537249999999, -74.2765441)",,
"DICKSON, TN","Dickson, TN, USA","(36.0770048, -87.3877899)",,
"ST CHARLES, MO","St Charles, MO, USA","(38.7881062, -90.4974359)",,
"BLOOMFIELD, NJ","Bloomfield, NJ, USA","(40.8067546, -74.1854209)",,
"MILLERSBURG, PA","Millersburg, PA 17061, USA","(40.5395289, -76.96081029999999)",,
"OBERLIN, OH","Oberlin, OH 44074, USA","(41.2939386, -82.21737859999999)",,
"BRENHAM, TX","Brenham, TX 77833, USA","(30.1668828, -96.39774419999999)",,
"WARREN, PA","Warren, PA 16365, USA","(41.8439486, -79.1450445)",,
"PHOENIXVILLE, PA","Phoenixville, PA 19460, USA","(40.1303822, -75.51491279999999)",,
"MCHENRY, IL","McHenry, IL, USA","(42.333355, -88.2667534)",,
"NORWOOD, NJ","Norwood, NJ 07648, USA","(40.9981532, -73.96180389999999)",,
"RICHWOOD, KY","Richwood, KY 41094, USA","(38.9206183, -84.624944)",,
"RICHMOND, WI","Richmond, WI 53115, USA","(42.7147343, -88.7492728)",,
"MOSCOW, ID","Moscow, ID, USA","(46.73238749999999, -117.000165)",,
"STATESBORO, GA","Statesboro, GA, USA","(32.4487876, -81.7831674)",,
"WINCHESTER, KY","Winchester, KY 40391, USA","(37.990079, -84.17965029999999)",,
"ELLAVILLE, GA","Ellaville, GA 31806, USA","(32.2382139, -84.30907979999999)",,
"APOPKA, FL","Apopka, FL, USA","(28.6934076, -81.5322149)",,
"FRANKLIN, NC","Franklin, NC 28734, USA","(35.1823171, -83.3815429)",,
"LENOIR, NC","Lenoir, NC, USA","(35.9140196, -81.5389849)",,
"MILESBURG, PA","Milesburg, PA, USA","(40.9417272, -77.7850021)",,
"SANDUSKY, OH","Sandusky, OH 44870, USA","(41.4561754, -82.71168209999999)",,
"MILTON, PA","Milton, PA, USA","(41.0120296, -76.8477412)",,
"SUN PRAIRIE, WI","Sun Prairie, WI 53590, USA","(43.1836046, -89.2137254)",,
"TEMPE, AZ","Tempe, AZ, USA","(33.4255104, -111.9400054)",,
"IOWA CITY, IA","Iowa City, IA, USA","(41.6611277, -91.5301683)",,
"WEST BERLIN, NJ","West Berlin, NJ, USA","(39.8077618, -74.9312075)",,
"OSWEGO, NY","Oswego, NY, USA","(43.4553461, -76.5104973)",,
"MILLS RIVER, NC","Mills River, NC, USA","(35.3884479, -82.566789)",,
"DEVILS LAKE, ND","Devils Lake, ND 58301, USA","(48.112779, -98.86512019999999)",,
"ROCK ISLAND, IL","Rock Island, IL, USA","(41.5094771, -90.5787476)",,
"MESA, AZ","Mesa, AZ, USA","(33.4151843, -111.8314724)",,
"BEECHER, IL","Beecher, IL 60401, USA","(41.34059, -87.6214286)",,
"SHAWANO, WI","Shawano, WI 54166, USA","(44.7822064, -88.60899169999999)",,
"GLENDORA, NJ","Glendora, Gloucester Township, NJ, USA","(39.8395581, -75.07350559999999)",,
"TYRONE, PA","Tyrone, PA 16686, USA","(40.6706184, -78.23862439999999)",,
"SPARKS, NV","Sparks, NV, USA","(39.5349112, -119.7526886)",,
"CANTON, GA","Canton, GA, USA","(34.2367621, -84.4907621)",,
"WILLS POINT, TX","Wills Point, TX 75169, USA","(32.7092955, -96.0083018)",,
"VALPARAISO, IN","Valparaiso, IN, USA","(41.4730948, -87.0611412)",,
"FLETCHER, NC","Fletcher, NC, USA","(35.4306712, -82.5012316)",,
"YUMA, AZ","Yuma, AZ, USA","(32.6926512, -114.6276916)",,
"ANAHEIM, CA","Anaheim, CA, USA","(33.8365932, -117.9143012)",,
"WILTON, NH","Wilton, NH 03086, USA","(42.8433943, -71.7351077)",,
"LAKE PLEASANT, NY","Lake Pleasant, NY, USA","(43.5956908, -74.4525627)",,
"ANOKA, MN","Anoka, MN, USA","(45.1977428, -93.3871758)",,
"BROOKINGS, SD","Brookings, SD 57006, USA","(44.3113573, -96.79838769999999)",,
"CALEDONIA, MN","Caledonia, MN 55921, USA","(43.6346913, -91.4968076)",,
"VARNELL, GA","Varnell, GA, USA","(34.9011886, -84.9738349)",,
"HANOVER, MD","Hanover, MD 21076, USA","(39.19550419999999, -76.7228227)",,
"KINGSTON SPRINGS, TN","Kingston Springs, TN 37082, USA","(36.10200380000001, -87.1150054)",,
"HAZLEHURST, MS","Hazlehurst, MS 39083, USA","(31.8604382, -90.39592549999999)",,
"CANTON, NC","Canton, NC 28716, USA","(35.5328838, -82.8373558)",,
"NORFOLK, VA","Norfolk, VA, USA","(36.8507689, -76.28587259999999)",,
"LECANTO, FL","Lecanto, FL, USA","(28.85164859999999, -82.4875981)",,
"NEW BOSTON, NH","New Boston, NH 03070, USA","(42.9761945, -71.69396259999999)",,
"GAINESVILLE, GA","Gainesville, GA, USA","(34.2978794, -83.8240663)",,
"LEDYARD, CT","Ledyard, CT, USA","(41.4456444, -72.0181743)",,
"FULTON, NY","Fulton, NY 13069, USA","(43.3228462, -76.4171585)",,
"LEBANON, MO","Lebanon, MO 65536, USA","(37.6805967, -92.6637865)",,
"EGLIN AFB, FL","Eglin AFB, FL 32542, USA","(30.4635583, -86.5533382)",,
"APALACHIN, NY","Apalachin, NY 13732, USA","(42.0695189, -76.1546504)",,
"GREENVILLE, SC","Greenville, SC, USA","(34.85261759999999, -82.3940104)",,
"WATERTOWN, WI","Watertown, WI, USA","(43.1947211, -88.7289918)",,
"TULLYTOWN, PA","Tullytown, PA, USA","(40.1392766, -74.8146076)",,
"MASPETH, NY","Maspeth, Queens, NY, USA","(40.7294018, -73.9065883)",,
"NEW SMYRNA BEACH, FL","New Smyrna Beach, FL, USA","(29.0258191, -80.9269984)",,
"ELKHORN, WI","Elkhorn, WI 53121, USA","(42.6727927, -88.5445447)",,
"WILMER, TX","Wilmer, TX, USA","(32.5971558, -96.6872571)",,
"MONTEVIDEO, MN","Montevideo, MN 56265, USA","(44.9410447, -95.7236136)",,
"JOHNSTON, RI","Johnston, RI 02919, USA","(41.8205199, -71.51261699999999)",,
"CARTERSVILLE, GA","Cartersville, GA, USA","(34.1650972, -84.7999382)",,
"MT. JOY, PA","Mount Joy, PA 17552, USA","(40.109818, -76.50329959999999)",,
"JONESBURG, MO","Jonesburg, MO 63351, USA","(38.8533773, -91.3059895)",,
"GREENVILLE, NC","Greenville, NC, USA","(35.612661, -77.3663538)",,
"SPARTA, NC","Sparta, NC 28675, USA","(36.5054071, -81.12091889999999)",,
"YULEE, FL","Yulee, FL, USA","(30.6319034, -81.6064866)",,
"NEWPORT, TN","Newport, TN 37821, USA","(35.9670412, -83.1876578)",,
"MCLEANSVILLE, NC","McLeansville, NC, USA","(36.1073575, -79.65863829999999)",,
"SAUGET, IL","Sauget, IL, USA","(38.5964402, -90.18483309999999)",,
"MIDFIELD, AL","Midfield, AL, USA","(33.4614078, -86.9086811)",,
"WOODLAND, WA","Woodland, WA 98674, USA","(45.9045591, -122.7439912)",,
"CONCORD TOWNSHIP, OH","Concord Township, OH, USA","(41.6748445, -81.2408689)",,
"BELFAST, NY","Belfast, NY 14711, USA","(42.3422691, -78.1124127)",,
"YPSILANTI, MI","Ypsilanti, MI, USA","(42.2411499, -83.61299389999999)",,
"WAYNESBORO, PA","Waynesboro, PA 17268, USA","(39.755927, -77.57776919999999)",,
"LOVELAND, OH","Loveland, OH, USA","(39.2689476, -84.26382600000001)",,
"GARDNER, MA","Gardner, MA, USA","(42.5750883, -71.998133)",,
"DULUTH, MN","Duluth, MN, USA","(46.78667189999999, -92.1004852)",,
"MENASHA, WI","Menasha, WI, USA","(44.2022084, -88.44649729999999)",,
"LADYS ISLAND, SC","Lady's Island, SC 29907, USA","(32.4532012, -80.6357125)",,
"BRIANERD, MN","Brainerd, MN 56401, USA","(46.3526733, -94.2020084)",,
